snapshot_time,vehicle_id,route_id,route_stop_id,vehicle_lat,vehicle_lon,vehicle_speed,estimated_time_arrival
2026-03-11T06:50:14.601924,3,17,195,33.78613,-84.40016,24.99999997704,2026-03-11T06:54:42.601924
2026-03-11T06:50:14.601924,3,17,196,33.78613,-84.40016,24.99999997704,2026-03-11T06:55:23.601924
2026-03-11T06:50:14.601924,3,17,208,33.78613,-84.40016,24.99999997704,2026-03-11T06:56:16.601924
2026-03-11T06:50:14.601924,3,17,418,33.78613,-84.40016,24.99999997704,2026-03-11T06:56:43.601924
2026-03-11T06:50:14.601924,3,17,206,33.78613,-84.40016,24.99999997704,2026-03-11T06:57:42.601924
2026-03-11T06:50:14.601924,3,17,209,33.78613,-84.40016,24.99999997704,2026-03-11T06:59:49.601924
2026-03-11T06:50:14.601924,3,17,210,33.78613,-84.40016,24.99999997704,2026-03-11T06:50:26.601924
2026-03-11T06:50:14.601924,3,17,211,33.78613,-84.40016,24.99999997704,2026-03-11T06:50:56.601924
2026-03-11T06:50:14.601924,3,17,212,33.78613,-84.40016,24.99999997704,2026-03-11T06:52:56.601924
2026-03-11T06:50:14.601924,3,17,213,33.78613,-84.40016,24.99999997704,2026-03-11T06:53:42.601924
